LocationID,Category,AADT,AADT_Year,Latitude,Longitude
52000120,CC,3166,2019,35.148897,-86.562499
52000121,CC,1632,2019,35.154239,-86.573119
52000122,CC,3345,2019,35.158992,-86.560718
52000123,CC,812,2019,35.280657,-86.453733
52000124,CC,2259,2019,35.064717,-86.418159
52000125,CC,7620,2019,35.158175,-86.607838
52000126,CC,1378,2019,35.142946,-86.574471
52000127,CC,1264,2019,35.144877,-86.572243
52000128,CC,1212,2019,35.146886,-86.573314
52000129,CC,869,2019,35.150834,-86.579389
52000130,CC,5480,2019,35.152621,-86.57363
52000131,CC,509,2019,35.157783,-86.573974
52000133,CC,2992,2019,35.153503,-86.566285
52000134,CC,13431,2019,35.157571,-86.554711
52000135,CC,159,2019,35.158007,-86.585084
52000136,CC,12352,2019,35.140611,-86.57253
52000137,CC,550,2019,35.146319,-86.572733
52000138,CC,458,2019,35.158575,-86.582448
52000139,CC,208,2019,35.161142,-86.577564
52000140,CC,142,2019,35.076839,-86.666309
52000141,CC,250,2019,35.082299,-86.726934
52000143,CC,914,2019,35.008196,-86.441926
52000144,CC,1935,2019,35.153915,-86.509539
52000145,CC,2941,2019,35.058057,-86.640674
52000146,CC,2325,2019,35.146742,-86.571828
52000147,CC,738,2019,35.15401,-86.568916
52000148,CC,540,2019,35.144852,-86.656807
52000149,CC,926,2019,35.316762,-86.637743
52000150,CC,4704,2019,35.07627,-86.384601
53000001,CC,7375,2019,35.88694,-84.324543
53000002,CC,497,2019,35.844219,-84.307753
53000003,CC,12937,2019,35.838478,-84.295083
53000004,CC,1080,2019,35.841697,-84.285252
53000005,CC,5804,2019,35.858207,-84.230559
53000006,CC,18756,2019,35.860918,-84.224334
53000007,CC,10346,2019,35.853498,-84.225234
53000008,CC,3240,2019,35.834882,-84.291865
53000009,CC,1179,2019,35.813924,-84.294419
53000010,CC,7570,2019,35.804464,-84.274832
53000011,CC,7820,2019,35.808029,-84.254308
53000012,CC,3321,2019,35.801776,-84.249095
53000013,CC,3266,2019,35.82198,-84.224217
53000014,CC,2145,2019,35.818224,-84.218777
53000015,CC,3114,2019,35.834231,-84.196372
53000017,CC,10131,2019,35.783053,-84.27839
53000019,CC,521,2019,35.748711,-84.176832
53000021,CC,3138,2019,35.726887,-84.209735
53000022,CC,1036,2019,35.714405,-84.286547
53000023,CC,6524,2019,35.731542,-84.333046
53000024,CC,369,2019,35.73978,-84.347127
53000025,CC,9278,2019,35.726234,-84.352312
53000027,CC,2199,2019,35.73087,-84.459924
53000031,CC,1270,2019,35.645365,-84.531462
53000034,CC,957,2019,35.681165,-84.382139
53000035,CC,2839,2019,35.685528,-84.332883
53000036,CC,291,2019,35.677839,-84.318168
53000040,CC,1200,2019,35.677517,-84.198838
53000041,CC,1171,2019,35.666526,-84.161588
53000042,CC,1258,2019,35.65628,-84.181587
53000043,CC,2873,2019,35.650146,-84.153521
53000044,CC,14300,2019,35.645496,-84.142132
53000047,CC,24100,2019,35.792779,-84.243359
53000048,CC,44316,2019,35.878642,-84.333302
53000049,CC,43361,2019,35.870861,-84.315764
53000050,CC,60473,2019,35.833009,-84.275312
53000051,CC,27896,2019,35.825949,-84.275541
53000052,CC,16863,2019,35.832049,-84.285066
53000053,CC,4290,2019,35.697579,-84.378826
53000055,CC,8501,2019,35.740176,-84.338638
53000056,CC,12659,2019,35.743397,-84.328314
53000057,CC,2155,2019,35.736262,-84.338656
53000058,CC,6258,2019,35.740398,-84.336196
53000059,CC,25070,2019,35.807371,-84.262545
53000060,CC,10188,2019,35.795495,-84.258987
53000063,CC,12894,2019,35.755862,-84.319056
53000064,CC,9123,2019,35.775798,-84.290045
53000065,CC,3742,2019,35.831853,-84.341683
