Year,County,Value,LastReportedDate
2015,Knox,44932,10/23/2018
2015,Lake,24087,10/23/2018
2015,Lauderdale,26405,10/23/2018
2015,Lawrence,31511,10/23/2018
2015,Lewis,29273,10/23/2018
2015,Lincoln,37422,10/23/2018
2015,Loudon,42882,10/23/2018
2015,Macon,30579,10/23/2018
2015,Madison,38359,10/23/2018
2015,Marion,34423,10/23/2018
2015,Marshall,33487,10/23/2018
2015,Maury,37398,10/23/2018
2015,McMinn,33106,10/23/2018
2015,Mcnairy,28931,10/23/2018
2015,Meigs,30412,10/23/2018
2015,Monroe,30541,10/23/2018
2015,Montgomery,39279,10/23/2018
2015,Moore,37769,10/23/2018
2015,Morgan,27385,10/23/2018
2015,Obion,36375,10/23/2018
2015,Overton,29634,10/23/2018
2015,Perry,28668,10/23/2018
2015,Pickett,35902,10/23/2018
2015,Polk,31645,10/23/2018
2015,Putnam,36254,10/23/2018
2015,Rhea,32892,10/23/2018
2015,Roane,37163,10/23/2018
2015,Robertson,37261,10/23/2018
2015,Rutherford,37249,10/23/2018
2015,Scott,27033,10/23/2018
2015,Sequatchie,33859,10/23/2018
2015,Sevier,35071,10/23/2018
2015,Shelby,44978,10/23/2018
2015,Smith,34580,10/23/2018
2015,Stewart,38212,10/23/2018
2015,Sullivan,38608,10/23/2018
2015,Sumner,42967,10/23/2018
2015,Tennessee,42128,10/23/2018
2015,Tipton,34942,10/23/2018
2015,Trousdale,34921,10/23/2018
2015,Unicoi,34922,10/23/2018
2015,Union,28439,10/23/2018
2015,VanBuren,26683,10/23/2018
2015,Warren,31927,10/23/2018
2015,Washington,39277,10/23/2018
2015,Wayne,28014,10/23/2018
2015,Weakley,32799,10/23/2018
2015,White,31017,10/23/2018
2015,Williamson,87506,10/23/2018
2015,Wilson,43476,10/23/2018
2016,Anderson,39225,10/23/2018
2016,Bedford,34069,10/23/2018
2016,Benton,34013,10/23/2018
2016,Bledsoe,20353,10/23/2018
2016,Blount,39226,10/23/2018
2016,Bradley,37941,10/23/2018
2016,Campbell,32077,10/23/2018
2016,Cannon,33597,10/23/2018
2016,Carroll,35275,10/23/2018
2016,Carter,31973,10/23/2018
2016,Cheatham,39469,10/23/2018
2016,Chester,30506,10/23/2018
2016,Claiborne,32048,10/23/2018
2016,Clay,31434,10/23/2018
2016,Cocke,29976,10/23/2018
2016,Coffee,37307,10/23/2018
2016,Crockett,35543,10/23/2018
2016,Cumberland,34828,10/23/2018
2016,Davidson,58283,10/23/2018
2016,Decatur,34411,10/23/2018
2016,DeKalb,34346,10/23/2018
2016,Dickson,36490,10/23/2018
2016,Dyer,38195,10/23/2018
2016,Fayette,50209,10/23/2018
2016,Fentress,29676,10/23/2018
2016,Franklin,36366,10/23/2018
2016,Gibson,36898,10/23/2018
2016,Giles,37303,10/23/2018
2016,Grainger,30538,10/23/2018
2016,Greene,38067,10/23/2018
2016,Grundy,29275,10/23/2018
2016,Hamblen,35780,10/23/2018
2016,Hamilton,48053,10/23/2018
2016,Hancock,24256,10/23/2018
2016,Hardeman,28296,10/23/2018
2016,Hardin,36150,10/23/2018
2016,Hawkins,32030,10/23/2018
2016,Haywood,30274,10/23/2018
2016,Henderson,33476,10/23/2018
2016,Henry,38593,10/23/2018
2016,Hickman,30069,10/23/2018
2016,Houston,31806,10/23/2018
2016,Humphreys,36179,10/23/2018
2016,Jackson,28273,10/23/2018
2016,Jefferson,32936,10/23/2018
2016,Johnson,32024,10/23/2018
2016,Knox,46305,10/23/2018
2016,Lake,23894,10/23/2018
2016,Lauderdale,26994,10/23/2018
2016,Lawrence,31868,10/23/2018
2016,Lewis,30567,10/23/2018
2016,Lincoln,37660,10/23/2018
2016,Loudon,43868,10/23/2018
2016,Macon,30401,10/23/2018
2016,Madison,40101,10/23/2018
2016,Marion,35307,10/23/2018
2016,Marshall,34075,10/23/2018
2016,Maury,38207,10/23/2018
2016,McMinn,33942,10/23/2018
2016,Mcnairy,30003,10/23/2018
2016,Meigs,30712,10/23/2018
2016,Monroe,31512,10/23/2018
2016,Montgomery,39176,10/23/2018
2016,Moore,37415,10/23/2018
2016,Morgan,27978,10/23/2018
2016,Obion,36729,10/23/2018
2016,Overton,30197,10/23/2018
2016,Perry,29390,10/23/2018
2016,Pickett,37567,10/23/2018
2016,Polk,32101,10/23/2018
2016,Putnam,37218,10/23/2018
2016,Rhea,33551,10/23/2018
2016,Roane,38234,10/23/2018
2016,Robertson,38033,10/23/2018
2016,Rutherford,38098,10/23/2018
2016,Scott,27435,10/23/2018
2016,Sequatchie,34671,10/23/2018
2016,Sevier,36285,10/23/2018
2016,Shelby,46234,10/23/2018
2016,Smith,34653,10/23/2018
2016,Stewart,38469,10/23/2018
2016,Sullivan,39345,10/23/2018
2016,Sumner,43951,10/23/2018
2016,Tennessee,43326,10/23/2018
2016,Tipton,36192,10/23/2018
2016,Trousdale,35177,10/23/2018
2016,Unicoi,35499,10/23/2018
2016,Union,29283,10/23/2018
2016,VanBuren,27268,10/23/2018
2016,Warren,32930,10/23/2018
2016,Washington,39909,10/23/2018
2016,Wayne,27520,10/23/2018
2016,Weakley,33491,10/23/2018
2016,White,31752,10/23/2018
2016,Williamson,90979,10/23/2018
2016,Wilson,44650,10/23/2018
,,,
