county,geometry
Franklin,"POLYGON ((-86.31695105796499 35.127410083835, -86.30458167997872 35.23084449937438, -86.24450184404546 35.32430933269309, -86.26040533002779 35.33427891491375, -86.15791619814163 35.36294146379816, -86.02538714828884 35.34424849713442, -85.91406274641251 35.28941579492077, -85.87342050445766 35.22336731270888, -85.86458523446747 35.21090533493305, -85.86458523446747 34.98658973496814, -86.30988284197284 34.99157452607847, -86.31871811196302 34.99157452607847, -86.31695105796499 35.127410083835))"
Knox,"POLYGON ((-83.94203048460298 36.18543199700282, -83.9049223506442 36.16050804145117, -83.73175105883655 36.16424663478391, -83.69817703287384 36.10941393257027, -83.66637006090917 36.08075138368586, -83.70877935686207 36.09321336146169, -83.67343827690132 36.03838065924805, -83.65046657492684 35.98604035258957, -83.79359794876785 35.88634453038294, -83.85367778470112 35.84023521261238, -83.9950421045441 35.88260593705019, -84.02331496851269 35.84023521261238, -84.14524169437726 35.84895859705546, -84.14347464037922 35.79661829039698, -84.16644634235371 35.80534167484006, -84.17704866634193 35.81904985039347, -84.26363431224576 35.8963141126036, -84.2707025282379 35.91002228815702, -84.27246958223594 35.939931034819, -84.09399712843418 36.06828940591004, -83.94203048460298 36.18543199700282))"
Union,"POLYGON ((-84.00387737453428 36.27017344587846, -83.9809056725598 36.28512781920944, -83.95439986258924 36.38731603697124, -83.92082583662653 36.38731603697124, -83.9049223506442 36.41971717918839, -83.80420027275608 36.43591775029697, -83.73175105883655 36.34494531253342, -83.66637006090917 36.34369911475584, -83.71408051885618 36.17297001922699, -83.73175105883655 36.16424663478391, -83.9049223506442 36.16050804145117, -83.94203048460298 36.18543199700282, -83.99857621254017 36.25148047921471, -84.00387737453428 36.27017344587846))"
White,"POLYGON ((-85.68257867266964 35.83026563039171, -85.63310116072459 35.84646620150029, -85.66314107869123 35.97108597925858, -85.64547053871085 36.01470290147397, -85.50764032686395 36.08199758146345, -85.30973027908378 36.03090347258255, -85.26378687513481 35.97856316592407, -85.24258222715837 35.91251468371218, -85.24965044315051 35.79911068595214, -85.26908803712892 35.79412589484181, -85.26555392913285 35.82278844372622, -85.4245887889562 35.81531125706072, -85.44049227493853 35.8165574548383, -85.44932754492872 35.82278844372622, -85.46346397691302 35.82278844372622, -85.46523103091106 35.81531125706072, -85.47406630090124 35.82278844372622, -85.49527094887769 35.81406505928314, -85.5005721108718 35.80658787261764, -85.51824265085217 35.8165574548383, -85.52707792084236 35.80783407039522, -85.52000970485021 35.79287969706423, -85.53591319083255 35.80035688372973, -85.54298140682469 35.79786448817456, -85.59952713476189 35.80658787261764, -85.60306124275796 35.7953720926194, -85.66490813268926 35.82029604817105, -85.68257867266964 35.83026563039171))"
DeKalb,"POLYGON ((-86.05896117425155 36.0857361747962, -85.91052863841644 36.11689111923577, -85.86458523446747 36.09321336146169, -85.80803950653028 36.13059929478918, -85.76739726457542 36.06953560368762, -85.64547053871085 36.01470290147397, -85.66314107869123 35.97108597925858, -85.63310116072459 35.84646620150029, -85.68257867266964 35.83026563039171, -85.86811934246354 35.84522000372271, -85.88578988244392 35.83898901483479, -85.88932399043999 35.85643578372095, -86.01478482430062 35.96111639703791, -86.06249528224762 36.06953560368762, -86.05896117425155 36.0857361747962))"
Polk,"POLYGON ((-84.77607997167654 34.98783593274572, -84.70009664976094 35.1710270060504, -84.70363075775701 35.24081408159504, -84.66828967779627 35.26823043270186, -84.49511838598862 35.28567720158802, -84.35728817414171 35.23333689492954, -84.32548120217704 35.21962871937613, -84.28660601422024 35.20592054382272, -84.32194709418097 34.98783593274572, -84.50925481797292 34.98783593274572, -84.6223462738473 34.98783593274572, -84.72836951372953 34.98783593274572, -84.77607997167654 34.98783593274572))"
Bledsoe,"POLYGON ((-85.4245887889562 35.56731789932174, -85.26555392913285 35.72184642374201, -85.25495160514463 35.76670954373499, -84.92804661550774 35.76920193929016, -84.91567723752148 35.76297095040224, -85.10828612330754 35.57230269043207, -85.14716131126436 35.49129983488918, -85.13479193327809 35.45889869267203, -85.1683659592408 35.45640629711686, -85.22667874117603 35.35421807935508, -85.40338414097975 35.49254603266677, -85.43695816694246 35.54239394377008, -85.4245887889562 35.56731789932174))"
Clay,"POLYGON ((-85.78860191255187 36.62160121915681, -85.73205618461468 36.62035502137923, -85.48820273288554 36.61537023026889, -85.43695816694246 36.61786262582406, -85.29559384709948 36.62658601026714, -85.29029268510537 36.62658601026714, -85.27615625312107 36.62658601026714, -85.26732098313089 36.57299950583108, -85.28499152311126 36.53062878139326, -85.44756049093068 36.49822763917611, -85.49527094887769 36.40227041030223, -85.5765554327874 36.47205748584687, -85.70555037464412 36.52190539695018, -85.81510772252243 36.49947383695369, -85.79743718254205 36.61038543915856, -85.78860191255187 36.62160121915681))"
Meigs,"POLYGON ((-85.0163993154096 35.40905078156872, -84.9686888574626 35.46762207711511, -84.9121431295254 35.44269812156345, -84.86089856358232 35.4975308237771, -84.87503499556662 35.55111732821316, -84.79551756565495 35.55236352599074, -84.78138113367065 35.67449090819386, -84.72306835173542 35.69069147930244, -84.72483540573346 35.75300136818158, -84.61881216585122 35.7081382481886, -84.62057921984926 35.64458216153187, -84.80081872764906 35.45516009933928, -84.86089856358232 35.35047948602233, -84.92804661550774 35.28941579492077, -84.94571715548811 35.28816959714319, -85.03230280139194 35.38038823268432, -85.0163993154096 35.40905078156872))"
Lake,"POLYGON ((-89.54535871237897 36.34369911475584, -89.52238701040449 36.34494531253342, -89.51001763241823 36.37859265252816, -89.5418246043829 36.41971717918839, -89.52061995640645 36.46208790362621, -89.53829049638682 36.49822763917611, -89.41636377052227 36.49947383695369, -89.34391455660274 36.50072003473127, -89.35981804258508 36.40850139919014, -89.44463663449085 36.23527990810614, -89.48174476844963 36.21284834810965, -89.48704593044374 36.18667819478041, -89.62664319628868 36.18543199700282, -89.69202419421606 36.22406412810789, -89.67788776223176 36.24774188588196, -89.60190444031616 36.2377723036613, -89.55419398236916 36.27765063254395, -89.61073971030635 36.30880557698352, -89.60013738631812 36.34245291697825, -89.54535871237897 36.34369911475584))"
Chester,"POLYGON ((-88.84207122116017 35.42774374823246, -88.67596814534467 35.4900536371116, -88.61412125541337 35.58850326154064, -88.56641079746636 35.58725706376306, -88.5063309615331 35.51248519710809, -88.36496664169012 35.49379223044435, -88.36143253369404 35.41902036378938, -88.36319958769208 35.3816344304619, -88.5681778514644 35.38288062823948, -88.64239411938196 35.36169526602058, -88.7201444952956 35.24829126826054, -88.7819913852269 35.24829126826054, -88.79436076321316 35.32929412380342, -88.84207122116017 35.42774374823246))"
Rutherford,"POLYGON ((-86.68626534355477 35.71063064374376, -86.6120490756372 35.79038730150906, -86.61911729162935 35.96734738592583, -86.54666807770982 36.08698237257378, -86.51486110574515 36.10069054812719, -86.25157006003761 35.96111639703791, -86.15261503614752 35.95363921037242, -86.14024565816126 35.91376088148976, -86.20562665608864 35.70439965485585, -86.24450184404546 35.68944528152485, -86.24450184404546 35.63212018375604, -86.34168981393751 35.6645213259732, -86.40176964987077 35.61965820598022, -86.54313396971375 35.69816866596793, -86.63855488560776 35.68695288596969, -86.68626534355477 35.71063064374376))"
Morgan,"POLYGON ((-84.70009664976094 36.37111546586266, -84.57463581590029 36.22904891921822, -84.44033971204946 36.16300043700633, -84.44917498203965 36.14181507478742, -84.34138468815938 36.04835024146871, -84.44564087404358 35.98604035258957, -84.60467573386693 35.95363921037242, -84.68065905578253 35.90752989260185, -84.72130129773738 35.99476373703265, -84.80611988964317 36.08947476812894, -84.90860902152933 36.15552325034083, -84.87680204956466 36.28512781920944, -84.79728461965298 36.29634359920769, -84.70009664976094 36.37111546586266))"
